task,method,replicate,seed_reservoir,seed_task,seed_split,alpha,n_lags,rmse,nrmse,nmse,sign_accuracy,n_train,n_val,n_test,t0,wall_time_s
lorenz,linear,0,0,1,2,0.1,0,0.0601629362842538,0.06016743580381396,0.003620120331206074,0.9869674185463659,3800,1140,2660,200,0.0010267910547554493
lorenz,delay_line,0,0,1,2,1e-08,16,1.689573126206787e-05,1.6896994875149147e-05,2.8550843581081654e-10,1.0,3800,1140,2660,200,0.003852125024423003
lorenz,esn,0,0,1,2,1e-08,0,1.6301992446107956e-05,1.6303211654118917e-05,2.6579471023899886e-10,1.0,3800,1140,2660,200,0.00597020797431469
lorenz,linear,1,0,1,2,1e-08,0,0.06112356796390784,0.06094766521686668,0.0037146178953872608,0.9843358395989975,3800,1140,2660,200,0.0007727080956101418
lorenz,delay_line,1,0,1,2,1e-08,16,1.853962138263068e-05,1.848626765281842e-05,3.4174209173164063e-10,1.0,3800,1140,2660,200,0.0035931251477450132
lorenz,esn,1,0,1,2,1e-07,0,4.902795497175645e-05,4.888686124557812e-05,2.389925202444408e-09,1.0,3800,1140,2660,200,0.005605666898190975
lorenz,linear,2,0,1,2,1e-08,0,0.05894455094965388,0.05955003215694778,0.0035462063298935145,0.9840852130325815,3800,1140,2660,200,0.0007400829344987869
lorenz,delay_line,2,0,1,2,1e-08,16,1.8522356868336104e-05,1.8712619391637836e-05,3.501621244963004e-10,1.0,3800,1140,2660,200,0.00354000017978251
lorenz,esn,2,0,1,2,1e-06,0,0.0001726894693295766,0.00017446334370289945,3.0437458295996024e-08,1.0,3800,1140,2660,200,0.00552950007840991
lorenz,linear,3,0,1,2,1e-08,0,0.058834207598257825,0.058258776016054115,0.003394084982888762,0.9859649122807017,3800,1140,2660,200,0.0008174169342964888
lorenz,delay_line,3,0,1,2,1e-08,16,1.9033069291531404e-05,1.8846915187928874e-05,3.552062121009841e-10,1.0,3800,1140,2660,200,0.003541042096912861
lorenz,esn,3,0,1,2,1e-08,0,7.649871929421487e-05,7.575051887005669e-05,5.738141109082814e-09,1.0,3800,1140,2660,200,0.005548832938075066
lorenz,linear,4,0,1,2,0.001,0,0.061425335580852364,0.06011254241729226,0.0036135177558707615,0.9843358395989975,3800,1140,2660,200,0.000747875077649951
lorenz,delay_line,4,0,1,2,1e-08,16,1.866215068574754e-05,1.826329989224508e-05,3.335481229540792e-10,1.0,3800,1140,2660,200,0.003521875012665987
lorenz,esn,4,0,1,2,1e-08,0,3.317561829624212e-05,3.2466583099538005e-05,1.0540790181592069e-09,1.0,3800,1140,2660,200,0.0055628749541938305
lorenz,linear,5,0,1,2,0.1,0,0.0637960778629476,0.06210808639013866,0.003857414395044927,0.9859649122807017,3800,1140,2660,200,0.000842041103169322
lorenz,delay_line,5,0,1,2,1e-08,16,1.679160196315891e-05,1.6347310058733294e-05,2.672345461563627e-10,1.0,3800,1140,2660,200,0.0036200000904500484
lorenz,esn,5,0,1,2,1e-07,0,1.9970565580988964e-05,1.9442160927644912e-05,3.779976215364425e-10,1.0,3800,1140,2660,200,0.005561291938647628
lorenz,linear,6,0,1,2,1e-08,0,0.062821914823125,0.06312231882658245,0.003984427134044725,0.9840852130325815,3800,1140,2660,200,0.0007996249478310347
lorenz,delay_line,6,0,1,2,1e-08,16,1.566811498441699e-05,1.5743037318147224e-05,2.478432240005762e-10,1.0,3800,1140,2660,200,0.003553458023816347
lorenz,esn,6,0,1,2,1e-08,0,4.981610890392132e-05,5.0054321295147286e-05,2.505435080317835e-09,1.0,3800,1140,2660,200,0.005550791975110769
lorenz,linear,7,0,1,2,1e-08,0,0.06044925471821048,0.06033719283617509,0.003640576839349779,0.9848370927318296,3800,1140,2660,200,0.0008127090986818075
