task,method,replicate,seed_reservoir,seed_task,seed_split,alpha,n_lags,rmse,nrmse,nmse,sign_accuracy,n_train,n_val,n_test,t0,wall_time_s
lorenz,linear,0,0,1,2,0.1,0,0.0601629362842538,0.06016743580381396,0.003620120331206074,0.9869674185463659,3800,1140,2660,200,0.000989292049780488
lorenz,delay_line,0,0,1,2,1e-08,16,1.689573126206787e-05,1.6896994875149147e-05,2.8550843581081654e-10,1.0,3800,1140,2660,200,0.0036572499666363
lorenz,esn,0,0,1,2,1e-08,0,1.6301992446107956e-05,1.6303211654118917e-05,2.6579471023899886e-10,1.0,3800,1140,2660,200,0.005931915948167443
lorenz,linear,1,0,1,2,1e-08,0,0.06112356796390784,0.06094766521686668,0.0037146178953872608,0.9843358395989975,3800,1140,2660,200,0.0008557091932743788
lorenz,delay_line,1,0,1,2,1e-08,16,1.853962138263068e-05,1.848626765281842e-05,3.4174209173164063e-10,1.0,3800,1140,2660,200,0.0035953749902546406
lorenz,esn,1,0,1,2,1e-07,0,4.902795497175645e-05,4.888686124557812e-05,2.389925202444408e-09,1.0,3800,1140,2660,200,0.005565957864746451
lorenz,linear,2,0,1,2,1e-08,0,0.05894455094965388,0.05955003215694778,0.0035462063298935145,0.9840852130325815,3800,1140,2660,200,0.0008434171322733164
lorenz,delay_line,2,0,1,2,1e-08,16,1.8522356868336104e-05,1.8712619391637836e-05,3.501621244963004e-10,1.0,3800,1140,2660,200,0.003977207932621241
lorenz,esn,2,0,1,2,1e-06,0,0.0001726894693295766,0.00017446334370289945,3.0437458295996024e-08,1.0,3800,1140,2660,200,0.005641124909743667
lorenz,linear,3,0,1,2,1e-08,0,0.058834207598257825,0.058258776016054115,0.003394084982888762,0.9859649122807017,3800,1140,2660,200,0.000771417049691081
lorenz,delay_line,3,0,1,2,1e-08,16,1.9033069291531404e-05,1.8846915187928874e-05,3.552062121009841e-10,1.0,3800,1140,2660,200,0.0035899169743061066
lorenz,esn,3,0,1,2,1e-08,0,7.649871929421487e-05,7.575051887005669e-05,5.738141109082814e-09,1.0,3800,1140,2660,200,0.00583666586317122
lorenz,linear,4,0,1,2,0.001,0,0.061425335580852364,0.06011254241729226,0.0036135177558707615,0.9843358395989975,3800,1140,2660,200,0.000759500078856945
lorenz,delay_line,4,0,1,2,1e-08,16,1.866215068574754e-05,1.826329989224508e-05,3.335481229540792e-10,1.0,3800,1140,2660,200,0.003845375031232834
lorenz,esn,4,0,1,2,1e-08,0,3.317561829624212e-05,3.2466583099538005e-05,1.0540790181592069e-09,1.0,3800,1140,2660,200,0.005546083906665444
lorenz,linear,5,0,1,2,0.1,0,0.0637960778629476,0.06210808639013866,0.003857414395044927,0.9859649122807017,3800,1140,2660,200,0.0009017500560730696
lorenz,delay_line,5,0,1,2,1e-08,16,1.679160196315891e-05,1.6347310058733294e-05,2.672345461563627e-10,1.0,3800,1140,2660,200,0.003648709040135145
lorenz,esn,5,0,1,2,1e-07,0,1.9970565580988964e-05,1.9442160927644912e-05,3.779976215364425e-10,1.0,3800,1140,2660,200,0.005684917094185948
lorenz,linear,6,0,1,2,1e-08,0,0.062821914823125,0.06312231882658245,0.003984427134044725,0.9840852130325815,3800,1140,2660,200,0.0008066659793257713
lorenz,delay_line,6,0,1,2,1e-08,16,1.566811498441699e-05,1.5743037318147224e-05,2.478432240005762e-10,1.0,3800,1140,2660,200,0.003575167153030634
lorenz,esn,6,0,1,2,1e-08,0,4.981610890392132e-05,5.0054321295147286e-05,2.505435080317835e-09,1.0,3800,1140,2660,200,0.005566834006458521
lorenz,linear,7,0,1,2,1e-08,0,0.06044925471821048,0.06033719283617509,0.003640576839349779,0.9848370927318296,3800,1140,2660,200,0.000791874947026372
lorenz,delay_line,7,0,1,2,1e-08,16,1.7785525667148224e-05,1.7752554549662323e-05,3.1515319303873647e-10,1.0,3800,1140,2660,200,0.0035837918985635042
lorenz,esn,7,0,1,2,1e-07,0,2.8889401944364112e-05,2.8835846267493427e-05,8.315060299625146e-10,1.0,3800,1140,2660,200,0.005646083038300276
lorenz,linear,8,0,1,2,1e-08,0,0.057517564546510296,0.0582405349213889,0.0033919599079295197,0.9869674185463659,3800,1140,2660,200,0.0008062920533120632
lorenz,delay_line,8,0,1,2,1e-08,16,1.6771407583341537e-05,1.6982216766994743e-05,2.8839568632119734e-10,1.0,3800,1140,2660,200,0.0036924160085618496
