task,method,replicate,seed_reservoir,seed_task,seed_split,alpha,n_lags,rmse,nrmse,nmse,sign_accuracy,n_train,n_val,n_test,t0,wall_time_s
mackey_glass,linear,0,0,1,2,1e-10,0,0.032848516130530726,0.14517154087820405,0.02107477628095207,1.0,3900,1170,2730,200,0.0006248330464586616
mackey_glass,delay_line,0,0,1,2,1e-10,64,0.00012110066110495504,0.0005351952430397797,2.864339481724089e-07,1.0,3900,1170,2730,200,0.003502874984405935
mackey_glass,esn,0,0,1,2,1e-10,0,0.00018598742982768924,0.0008219574261671912,6.756140104313935e-07,1.0,3900,1170,2730,200,0.0038320000749081373
mackey_glass,linear,1,0,1,2,1e-10,0,0.03286699259800016,0.14532017693133553,0.021117953823354664,1.0,3900,1170,2730,200,0.0004389589885249734
mackey_glass,delay_line,1,0,1,2,1e-10,64,0.00011928906392796491,0.0005274321288842239,2.781846505793446e-07,1.0,3900,1170,2730,200,0.003137958003208041
mackey_glass,esn,1,0,1,2,1e-10,0,0.00015128723004917478,0.0006689108220852386,4.474416879027498e-07,1.0,3900,1170,2730,200,0.0035767080262303352
mackey_glass,linear,2,0,1,2,1e-10,0,0.03296226893678574,0.1453840647344887,0.021136526278722,1.0,3900,1170,2730,200,0.0005143750458955765
mackey_glass,delay_line,2,0,1,2,1e-10,64,0.00011891857518193617,0.0005245047258591314,2.751052074485626e-07,1.0,3900,1170,2730,200,0.003134917002171278
mackey_glass,esn,2,0,1,2,1e-10,0,0.0001701809169886513,0.0007506034702738931,5.634055695872112e-07,1.0,3900,1170,2730,200,0.0036067499313503504
mackey_glass,linear,3,0,1,2,1e-10,0,0.03298221798115668,0.14563462296384666,0.021209443405821773,1.0,3900,1170,2730,200,0.0004992500180378556
mackey_glass,delay_line,3,0,1,2,1e-10,64,0.00011775592999145028,0.0005199571622460232,2.7035545057093727e-07,1.0,3900,1170,2730,200,0.003158167004585266
mackey_glass,esn,3,0,1,2,1e-10,0,0.00013133298082640776,0.0005799073050908638,3.362924824977481e-07,1.0,3900,1170,2730,200,0.00371991703286767
mackey_glass,linear,4,0,1,2,0.01,0,0.03285764794273822,0.14549193291863707,0.02116790254440119,1.0,3900,1170,2730,200,0.0004390840185806155
mackey_glass,delay_line,4,0,1,2,1e-10,64,0.0001207391997556784,0.0005346268114539655,2.85825827525434e-07,1.0,3900,1170,2730,200,0.003118084045127034
mackey_glass,esn,4,0,1,2,1e-10,0,0.0001652641061793369,0.0007317807498578617,5.355030658625344e-07,1.0,3900,1170,2730,200,0.003554958035238087
delay_parity,linear,0,0,1,2,1e-09,0,1.0000823910706196,1.0001210391706497,1.0002420929917801,0.4956043956043956,3900,1170,2730,200,0.00042574992403388023
delay_parity,delay_line,0,0,1,2,100.0,8,1.0000026303701126,1.0000412753877972,1.000082552479252,0.5021978021978022,3900,1170,2730,200,0.0029909160220995545
delay_parity,esn,0,0,1,2,0.001,0,0.07453346857452614,0.07453634891416093,0.005555667309453539,1.0,3900,1170,2730,200,0.0036875420482829213
delay_parity,linear,1,0,1,2,100.0,0,0.9998132834048575,1.0001421152780487,1.0002842507528498,0.5128205128205128,3900,1170,2730,200,0.00043483299668878317
delay_parity,delay_line,1,0,1,2,100.0,1,0.999802804232827,1.000131632659489,1.0002632826461348,0.5128205128205128,3900,1170,2730,200,0.0029503749683499336
delay_parity,esn,1,0,1,2,0.001,0,0.07301506653740891,0.07303908070235271,0.005334707309844792,1.0,3900,1170,2730,200,0.003675582935102284
delay_parity,linear,2,0,1,2,1e-10,0,1.0003716436554104,1.0003813080547852,1.000762761505403,0.5010989010989011,3900,1170,2730,200,0.00042970897629857063
delay_parity,delay_line,2,0,1,2,1e-10,8,1.001709370861664,1.0017190481845657,1.0034410514957923,0.47545787545787543,3900,1170,2730,200,0.003044874989427626
delay_parity,esn,2,0,1,2,0.001,0,0.08947936064403825,0.08948022508705054,0.008006710681629229,1.0,3900,1170,2730,200,0.003772874944843352
delay_parity,linear,3,0,1,2,100.0,0,1.0004071804536177,1.0004941732230268,1.0009885906532279,0.49340659340659343,3900,1170,2730,200,0.00042533292435109615
delay_parity,delay_line,3,0,1,2,100.0,2,1.0005032251605912,1.0005902262817947,1.001180800930653,0.621978021978022,3900,1170,2730,200,0.0029586669988930225
delay_parity,esn,3,0,1,2,1e-10,0,0.11306851748086215,0.11307834962087558,0.012786713152980973,1.0,3900,1170,2730,200,0.0037088750395923853
delay_parity,linear,4,0,1,2,100.0,0,1.0007690928843953,1.0007733898449378,1.0015473778217279,0.49853479853479854,3900,1170,2730,200,0.00044420803897082806
delay_parity,delay_line,4,0,1,2,100.0,1,1.000812979405336,1.0008172765543122,1.0016352210495907,0.49853479853479854,3900,1170,2730,200,0.003030374995432794
delay_parity,esn,4,0,1,2,1e-10,0,0.09696671551500294,0.09696713185694782,0.009402624660562704,1.0,3900,1170,2730,200,0.003622082993388176
