experiment,replicate,seed_reservoir,seed_drive,seed_surrogate,rho,leak_rate,input_scale,sigma_u,input_drive_std,n_units,density,state_noise,n_steps,washout,t0_mc,n_samples_mc,mc_total,mc_total_raw,mc_threshold,mc_effective_delay,mc_ratio,n_delays,t0_ipc,n_samples_ipc,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,ipc_saturation_ratio,n_targets,n_targets_kept,n_degrees,chunk_size_mc_effective,chunk_size_ipc_effective,wall_time_state_s,wall_time_mc_s,wall_time_ipc_s,wall_time_s
3A_mc_sweep,0,0,1,4,0.5,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,10.609589323443563,11.602192491225807,0.004609074451242151,20.95088757964317,0.05304794661721782,400,200,19800,25.76788471394125,26.868546735970355,10.160945815013376,15.606938898927874,0.12883942356970624,601,297,4,256,256,0.1450750830117613,0.08671495807357132,0.6049673748202622,0.8368372500408441
3A_mc_sweep,0,0,1,4,0.5,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,12.518944469936505,14.353810224447631,0.006898656722126171,10.899283737340895,0.06259472234968252,400,200,19800,58.235898552041206,59.9435073171024,12.466066876393402,45.76983167564781,0.29117949276020605,601,304,4,256,256,0.14377908408641815,0.0832814578898251,0.5910420829895884,0.818205000134185
3A_mc_sweep,0,0,1,4,0.5,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,16.043422113353813,19.53367521419483,0.012075604493694296,9.03745860866758,0.08021711056676907,400,200,19800,124.10262704179257,127.02938715245277,16.015369069016668,108.0872579727759,0.6205131352089629,601,304,4,256,256,0.14233158412389457,0.0789501671679318,0.5910041669849306,0.8123552091419697
3A_mc_sweep,0,0,1,4,0.7,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,14.76506524835274,16.458505842379164,0.008576983875757326,31.297303074927893,0.07382532624176369,400,200,19800,33.24519280800928,35.23510801097476,12.11356968248668,21.131623125522598,0.1662259640400464,601,308,4,256,256,0.14289125008508563,0.08150854194536805,0.5918119580019265,0.816271249903366
3A_mc_sweep,0,0,1,4,0.7,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,16.868760926269797,19.95365695367994,0.011426667512174067,15.492807599070584,0.08434380463134898,400,200,19800,80.15620825952138,82.71601898511092,16.793799987513076,63.3624082720083,0.4007810412976069,601,346,4,256,256,0.14183170814067125,0.07957891607657075,0.5915791247971356,0.8130512081552297
3A_mc_sweep,0,0,1,4,0.7,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,20.860390862139255,24.518085730657702,0.01274053868457021,11.805218909105287,0.10430195431069628,400,200,19800,137.56169202954783,140.55707180070453,20.776694193247312,116.78499783630052,0.6878084601477391,601,319,4,256,256,0.14780620811507106,0.0802144999615848,0.5910737081430852,0.8191579580307007
3A_mc_sweep,0,0,1,4,0.9,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,19.70031073005755,21.73035939766185,0.012218199646027893,50.40248229573506,0.09850155365028775,400,200,19800,34.6870534537886,37.964986007504365,13.084745484273443,21.60230796951516,0.173435267268943,601,300,4,256,256,0.14214820810593665,0.07913399999961257,0.5926667081657797,0.8140114159323275
3A_mc_sweep,0,0,1,4,0.9,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,21.1594283293069,24.081042983571137,0.01204026898241817,23.330283843836604,0.10579714164653449,400,200,19800,70.15821635116978,73.12569798836776,19.64199816476396,50.51621818640582,0.35079108175584894,601,330,4,256,256,0.14190862490795553,0.07961675012484193,0.5928596667945385,0.8144449160899967
3A_mc_sweep,0,0,1,4,0.9,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,29.490625520800368,32.977952476927975,0.013447050326806624,15.837200698524246,0.14745312760400184,400,200,19800,115.96474134486209,119.09259218721917,29.50154799509936,86.46319334976273,0.5798237067243105,601,313,4,256,256,0.1502640419639647,0.08094404079020023,0.5935866250656545,0.8248588750138879
3A_mc_sweep,0,0,1,4,0.95,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,20.764485155110197,22.43671268292093,0.012919150802539314,58.432305972277504,0.10382242577555098,400,200,19800,31.668758176648943,34.928030950477435,12.91516474478389,18.753593431865053,0.1583437908832447,601,305,4,256,256,0.14238016679883003,0.07913458300754428,0.5936300000175834,0.8152092918753624
