experiment,replicate,seed_reservoir,seed_drive,seed_surrogate,rho,leak_rate,input_scale,sigma_u,input_drive_std,n_units,density,state_noise,n_steps,washout,t0_mc,n_samples_mc,mc_total,mc_total_raw,mc_threshold,mc_effective_delay,mc_ratio,n_delays,t0_ipc,n_samples_ipc,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,ipc_saturation_ratio,n_targets,n_targets_kept,n_degrees,chunk_size_mc_effective,chunk_size_ipc_effective,wall_time_state_s,wall_time_mc_s,wall_time_ipc_s,wall_time_s
3A_mc_sweep,0,0,1,4,0.5,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,10.609589323443563,11.602192491225807,0.004609074451242151,20.95088757964317,0.05304794661721782,400,200,19800,25.76788471394125,26.868546735970355,10.160945815013376,15.606938898927874,0.12883942356970624,601,297,4,256,256,0.1460699171293527,0.08624016703106463,0.591683957958594,0.8240737919695675
3A_mc_sweep,0,0,1,4,0.5,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,12.518944469936505,14.353810224447631,0.006898656722126171,10.899283737340895,0.06259472234968252,400,200,19800,58.235898552041206,59.9435073171024,12.466066876393402,45.76983167564781,0.29117949276020605,601,304,4,256,256,0.14093650016002357,0.07854545908048749,0.5870759170502424,0.8066279171034694
3A_mc_sweep,0,0,1,4,0.5,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,16.043422113353813,19.53367521419483,0.012075604493694296,9.03745860866758,0.08021711056676907,400,200,19800,124.10262704179257,127.02938715245277,16.015369069016668,108.0872579727759,0.6205131352089629,601,304,4,256,256,0.14136900007724762,0.07891599996946752,0.5821888749487698,0.8025377909652889
3A_mc_sweep,0,0,1,4,0.7,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,14.76506524835274,16.458505842379164,0.008576983875757326,31.297303074927893,0.07382532624176369,400,200,19800,33.24519280800928,35.23510801097476,12.11356968248668,21.131623125522598,0.1662259640400464,601,308,4,256,256,0.1375198329333216,0.07936475006863475,0.586633208906278,0.8035842918325216
3A_mc_sweep,0,0,1,4,0.7,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,16.868760926269797,19.95365695367994,0.011426667512174067,15.492807599070584,0.08434380463134898,400,200,19800,80.15620825952138,82.71601898511092,16.793799987513076,63.3624082720083,0.4007810412976069,601,346,4,256,256,0.14130775001831353,0.07861308404244483,0.5838126670569181,0.8038007922004908
3A_mc_sweep,0,0,1,4,0.7,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,20.860390862139255,24.518085730657702,0.01274053868457021,11.805218909105287,0.10430195431069628,400,200,19800,137.56169202954783,140.55707180070453,20.776694193247312,116.78499783630052,0.6878084601477391,601,319,4,256,256,0.13952325005084276,0.07899066689424217,0.5787957089487463,0.7973733749240637
3A_mc_sweep,0,0,1,4,0.9,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,19.70031073005755,21.73035939766185,0.012218199646027893,50.40248229573506,0.09850155365028775,400,200,19800,34.6870534537886,37.964986007504365,13.084745484273443,21.60230796951516,0.173435267268943,601,300,4,256,256,0.14111229195259511,0.07864366704598069,0.5832714580465108,0.8030941670294851
3A_mc_sweep,0,0,1,4,0.9,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,21.1594283293069,24.081042983571137,0.01204026898241817,23.330283843836604,0.10579714164653449,400,200,19800,70.15821635116978,73.12569798836776,19.64199816476396,50.51621818640582,0.35079108175584894,601,330,4,256,256,0.1394524578936398,0.07830333383753896,0.5839366249274462,0.8017587920185179
3A_mc_sweep,0,0,1,4,0.9,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,29.490625520800368,32.977952476927975,0.013447050326806624,15.837200698524246,0.14745312760400184,400,200,19800,115.96474134486209,119.09259218721917,29.50154799509936,86.46319334976273,0.5798237067243105,601,313,4,256,256,0.14075400005094707,0.07858800003305078,0.5793947498314083,0.7988018330652267
3A_mc_sweep,0,0,1,4,0.95,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,20.764485155110197,22.43671268292093,0.012919150802539314,58.432305972277504,0.10382242577555098,400,200,19800,31.668758176648943,34.928030950477435,12.91516474478389,18.753593431865053,0.1583437908832447,601,305,4,256,256,0.1385443340986967,0.07942791609093547,0.5823257500305772,0.8003593750763685
3A_mc_sweep,0,0,1,4,0.95,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,22.069092136187866,25.024505162724605,0.012698270842551932,25.27720951342682,0.11034546068093933,400,200,19800,61.69694199513226,64.64428503468982,19.920202039439108,41.77673995569316,0.3084847099756613,601,331,4,256,256,0.15231924992986023,0.0789237089920789,0.579781541833654,0.8110885419882834
3A_mc_sweep,0,0,1,4,0.95,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,32.768868103002745,36.15350889780241,0.012878116441761662,17.8392562813892,0.16384434051501373,400,200,19800,102.0950156347253,104.97603035061886,32.76203214302342,69.33298349170188,0.5104750781736265,601,336,4,256,256,0.13961070799268782,0.0792654580436647,0.582322666188702,0.8012632918544114
3A_mc_sweep,0,0,1,4,1.0,0.3,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,21.141330984067693,22.394338263607736,0.012554129240762053,65.78651230616045,0.10570665492033847,400,200,19800,26.952576327206785,29.813949069408405,12.507072960024509,14.445503367182276,0.13476288163603392,601,342,4,256,256,0.13958479114808142,0.07890012511052191,0.5802137500140816,0.79876120807603
3A_mc_sweep,0,0,1,4,1.0,0.6,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,23.346575569787415,25.50632129372376,0.012791344433241961,32.74081525585361,0.11673287784893707,400,200,19800,48.87978706441588,52.019631799710936,19.776095361969833,29.103691702446046,0.2443989353220794,601,311,4,256,256,0.14087766711600125,0.07879329100251198,0.5809691669419408,0.8007051669992507
3A_mc_sweep,0,0,1,4,1.0,1.0,1.0,0.1,0.10067802632517638,200,0.1,0.0,20000,200,400,19600,35.58254849152372,38.65697672024799,0.012158300587237974,20.609919170120516,0.1779127424576186,400,200,19800,78.78974176801108,81.91379057096555,35.010169460869236,43.77957230714185,0.3939487088400554,601,315,4,256,256,0.13991320808418095,0.07858754205517471,0.584245250094682,0.8028094579931349
