experiment,replicate,seed_reservoir,seed_drive,seed_surrogate,rho,leak_rate,input_scale,sigma_u,input_drive_std,n_units,density,state_noise,n_steps,washout,t0_mc,n_samples_mc,mc_total,mc_total_raw,mc_threshold,mc_effective_delay,mc_ratio,n_delays,t0_ipc,n_samples_ipc,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,ipc_saturation_ratio,n_targets,n_targets_kept,n_degrees,chunk_size_mc_effective,chunk_size_ipc_effective,wall_time_state_s,wall_time_mc_s,wall_time_ipc_s,wall_time_s
3L_length_sweep,0,0,1,4,0.95,1.0,1.0,0.2,0.20025812867932563,50,0.1,0.0,100000,200,400,99600,14.55554911040553,14.730901282059456,0.0007554234839940269,8.616321249969216,0.2911109822081106,400,200,99800,29.879067935347727,30.051517318104143,14.553620159583236,15.325447775764491,0.5975813587069545,601,295,4,168,168,0.4597929168958217,0.28431966598145664,2.3627466671168804,3.106989082880318
3L_length_sweep,0,0,1,4,0.95,1.0,1.0,0.2,0.20042099437479982,50,0.1,0.0,200000,200,400,199600,14.534776717043579,14.621851747875768,0.00037219847001283244,8.656345371866296,0.2906955343408716,400,200,199800,29.758227285671843,29.847647879849198,14.530631968286269,15.227595317385575,0.5951645457134369,601,277,4,84,83,0.9244898748584092,0.8176043329294771,5.618315082974732,7.360602124826983
3L_length_sweep,0,0,1,4,0.95,1.0,1.0,0.2,0.2001554800773509,50,0.1,0.0,500000,200,400,499600,14.538234290790491,14.57254564341311,0.00014366597766503068,8.60438595535893,0.29076468581580983,400,200,499800,29.760087139982694,29.793907101296995,14.536488018554483,15.223599121428212,0.5952017427996539,601,288,4,33,33,2.2870907080359757,2.5478281669784337,16.649859874974936,21.48625854193233
3L_length_sweep,0,0,1,4,0.95,1.0,1.0,0.2,0.19991695197806847,50,0.1,0.0,1000000,200,400,999600,14.537004525307523,14.555325859037845,7.876976347643396e-05,8.580151549425716,0.29074009050615046,400,200,999800,29.76084259680767,29.778787475755223,14.536895980951494,15.223946615856176,0.5952168519361534,601,273,4,16,16,4.5803648750297725,5.507819792022929,36.07287162495777,46.16178691689856
3L_length_sweep,1,0,1,4,0.95,1.0,1.0,0.2,0.19994912324306374,50,0.1,0.0,100000,200,400,99600,16.662004806607438,16.83700434279427,0.0007874561489516885,9.606915407432375,0.3332400961321488,400,200,99800,33.131544625876465,33.28097772749843,16.659887682146223,16.471656943730242,0.6626308925175293,601,322,4,168,168,0.4634226248599589,0.2683573327958584,2.5534260829444975,3.28532695886679
3L_length_sweep,1,0,1,4,0.95,1.0,1.0,0.2,0.19994094365445333,50,0.1,0.0,200000,200,400,199600,16.67135190901874,16.749010552445164,0.00033435439885643256,9.750516613467829,0.3334270381803748,400,200,199800,32.98366132620314,33.06733695033992,16.656725460215274,16.326935865987867,0.6596732265240628,601,297,4,84,83,0.9214052089955658,0.8848967079538852,5.881189540959895,7.687691875034943
3L_length_sweep,1,0,1,4,0.95,1.0,1.0,0.2,0.19991169688433258,50,0.1,0.0,500000,200,400,499600,16.643184230892192,16.67617747769747,0.00016324471500451913,9.55562529069547,0.3328636846178438,400,200,499800,32.99585979378868,33.027444995891564,16.64275273087768,16.353107062911,0.6599171958757737,601,307,4,33,33,2.3300387910567224,2.4765523329842836,16.383552584098652,21.19053008290939
3L_length_sweep,1,0,1,4,0.95,1.0,1.0,0.2,0.19995259214504427,50,0.1,0.0,1000000,200,400,999600,16.64646951663867,16.66272851769633,7.504693345953165e-05,9.559735853201705,0.3329293903327734,400,200,999800,32.967774620892285,32.98435206908606,16.64526098446691,16.322513636425377,0.6593554924178457,601,298,4,16,16,4.659656416159123,5.419624750036746,35.74632437503897,45.82635062513873
3L_length_sweep,2,0,1,4,0.95,1.0,1.0,0.2,0.20035909972664465,50,0.1,0.0,100000,200,400,99600,14.241719037604097,14.420019672357753,0.000745145797368413,8.236067903558379,0.28483438075208195,400,200,99800,31.083666506132055,31.263868441877428,14.23764375398694,16.846022752145114,0.6216733301226411,601,276,4,168,168,0.4786222919356078,0.2603893750347197,2.381178833078593,3.120308875106275
3L_length_sweep,2,0,1,4,0.95,1.0,1.0,0.2,0.20033678042868924,50,0.1,0.0,200000,200,400,199600,14.232123864980577,14.316779956459948,0.00036976104482623894,8.211428341755889,0.28464247729961156,400,200,199800,30.98760814399392,31.06910872736861,14.230497006788495,16.757111137205428,0.6197521628798784,601,286,4,84,83,0.9429346669930965,0.865577292162925,5.665362917119637,7.474067958071828
3L_length_sweep,2,0,1,4,0.95,1.0,1.0,0.2,0.20020720611391654,50,0.1,0.0,500000,200,400,499600,14.220864506279831,14.25469896854508,0.0001411084908166238,8.207110857569164,0.28441729012559663,400,200,499800,30.92294931177105,30.956152769050977,14.219638639847712,16.703310671923337,0.618458986235421,601,286,4,33,33,2.3689837499987334,2.481247582938522,16.519751500105485,21.37037270818837
3L_length_sweep,2,0,1,4,0.95,1.0,1.0,0.2,0.2001571362950121,50,0.1,0.0,1000000,200,400,999600,14.230887242750732,14.247353647186689,6.876543496763699e-05,8.207964570192505,0.2846177448550147,400,200,999800,30.879956592527655,30.897609136194895,14.22985835573231,16.650098236795344,0.6175991318505532,601,290,4,16,16,4.700341459130868,5.367907709209248,35.78816741681658,45.857173749944195
